idx,type,n_craters,r_s,noise,ellipticity,alpha
51,single,1,8.59,0.036,0.294,3.04
52,single,1,11.87,0.041,0.035,2.98
53,single,1,11.58,0.046,0.288,3.44
54,single,1,11.62,0.027,0.272,2.87
55,single,1,21.74,0.038,0.232,3.08
56,single,1,20.77,0.06,0.108,3.17
57,single,1,11.19,0.032,0.187,2.99
58,single,1,12.07,0.059,0.279,3.31
59,single,1,21.65,0.04,0.136,2.99
60,single,1,12.2,0.028,0.017,3.26
61,single,1,8.55,0.029,0.092,3.35
62,single,1,8.99,0.014,0.051,3.18
63,single,1,24.71,0.039,0.225,2.96
64,single,1,19.45,0.042,0.117,2.83
65,single,1,8.26,0.018,0.158,3.38
66,single,1,15.26,0.064,0.052,3.13
67,single,1,12.72,0.028,0.091,3.46
68,single,1,22.25,0.044,0.184,3.19
69,single,1,22.15,0.056,0.075,3.03
70,single,1,21.49,0.023,0.085,3.37
71,single,1,13.02,0.022,0.023,3.16
72,single,1,22.32,0.042,0.032,2.82
73,single,1,10.21,0.041,0.218,3.27
74,single,1,8.29,0.052,0.095,3.44
75,single,1,20.82,0.061,0.016,2.84
76,single,1,15.79,0.039,0.267,2.97
77,single,1,18.35,0.067,0.285,3.07
78,single,1,29.0,0.05,0.07,2.88
79,single,1,14.35,0.048,0.214,3.37
80,single,1,22.44,0.027,0.261,3.37
81,single,1,20.88,0.068,0.243,3.06
82,single,1,18.34,0.023,0.093,2.81
83,single,1,27.71,0.037,0.088,2.99
84,single,1,14.09,0.018,0.26,3.03
85,single,1,22.46,0.061,0.299,3.2
86,single,1,9.79,0.031,0.196,3.37
87,single,1,19.63,0.04,0.297,2.97
88,single,1,20.93,0.056,0.221,3.23
89,single,1,12.81,0.03,0.234,2.97
90,single,1,16.94,0.026,0.104,2.87
91,single,1,19.15,0.016,0.261,3.03
92,single,1,25.49,0.061,0.049,2.91
93,single,1,8.53,0.069,0.092,3.26
94,single,1,22.48,0.06,0.161,3.1
95,single,1,23.26,0.069,0.142,3.44
96,single,1,19.31,0.039,0.015,3.24
97,single,1,23.29,0.052,0.251,3.27
98,single,1,8.08,0.014,0.025,3.29
99,single,1,13.88,0.02,0.05,2.85
100,single,1,19.39,0.069,0.011,3.02
101,single,1,9.61,0.025,0.189,3.28
102,single,1,19.75,0.055,0.276,2.94
103,single,1,9.08,0.055,0.222,3.18
104,single,1,14.06,0.054,0.073,3.16
105,single,1,17.15,0.046,0.263,3.27
106,single,1,22.84,0.062,0.024,2.89
107,single,1,20.55,0.042,0.079,3.34
108,single,1,22.14,0.018,0.062,3.44
109,single,1,27.36,0.027,0.018,2.9
110,single,1,20.75,0.055,0.2,3.43
111,single,1,21.62,0.038,0.024,2.88
112,single,1,22.1,0.031,0.13,3.31
113,single,1,22.97,0.057,0.251,3.09
114,single,1,11.85,0.048,0.073,3.17
115,single,1,23.56,0.011,0.03,3.36
116,single,1,9.68,0.061,0.242,2.94
117,single,1,16.54,0.024,0.28,3.33
118,single,1,23.96,0.061,0.089,3.33
119,single,1,19.01,0.068,0.289,3.32
120,single,1,9.11,0.013,0.003,2.86
121,single,1,27.76,0.014,0.149,3.47
122,single,1,20.13,0.056,0.245,2.94
123,single,1,18.7,0.032,0.114,2.89
124,single,1,10.06,0.068,0.275,3.06
125,single,1,17.93,0.067,0.123,2.85
126,single,1,10.45,0.054,0.028,3.41
127,single,1,20.36,0.021,0.272,3.4
128,single,1,29.16,0.069,0.024,3.29
129,single,1,21.06,0.064,0.282,3.08
130,single,1,22.78,0.041,0.076,2.98
131,single,1,21.98,0.027,0.236,3.22
132,single,1,23.69,0.035,0.02,3.42
133,single,1,29.07,0.023,0.185,3.34
134,single,1,12.06,0.043,0.2,3.4
135,single,1,16.1,0.044,0.173,3.47
136,single,1,25.41,0.016,0.26,3.36
137,single,1,17.57,0.067,0.074,3.32
138,single,1,28.44,0.022,0.054,2.85
139,single,1,27.01,0.049,0.248,3.09
140,single,1,11.44,0.012,0.008,3.29
141,single,1,20.74,0.04,0.093,3.36
142,single,1,27.54,0.028,0.247,3.32
143,single,1,10.79,0.037,0.223,3.03
144,single,1,16.5,0.055,0.165,3.21
145,single,1,17.83,0.035,0.223,3.44
146,single,1,12.47,0.037,0.27,3.12
147,single,1,28.11,0.062,0.001,3.35
148,single,1,20.94,0.014,0.294,3.06
149,single,1,15.96,0.053,0.19,3.34
150,single,1,15.54,0.013,0.218,2.89
151,single,1,29.89,0.033,0.249,3.31
152,single,1,12.84,0.048,0.111,3.41
153,single,1,19.7,0.032,0.219,2.88
154,single,1,13.14,0.022,0.19,3.21
155,single,1,20.11,0.064,0.18,3.21
156,single,1,10.35,0.059,0.272,2.9
157,single,1,14.6,0.056,0.195,3.07
158,single,1,16.7,0.016,0.261,3.04
159,single,1,23.89,0.043,0.18,2.89
160,single,1,16.86,0.066,0.285,2.91
161,single,1,22.47,0.064,0.021,3.45
162,single,1,28.08,0.028,0.011,3.3
163,single,1,23.19,0.038,0.127,3.25
164,single,1,27.24,0.064,0.249,2.92
165,single,1,24.44,0.062,0.111,3.49
166,single,1,20.63,0.038,0.002,3.02
167,single,1,13.49,0.011,0.173,2.88
168,single,1,11.22,0.029,0.134,2.87
169,single,1,22.66,0.067,0.13,3.46
170,single,1,25.82,0.029,0.23,2.97
171,single,1,25.78,0.015,0.093,3.34
172,single,1,8.58,0.024,0.157,3.16
173,single,1,19.36,0.029,0.224,3.22
174,single,1,25.89,0.014,0.177,3.45
175,single,1,16.8,0.02,0.006,2.84
176,single,1,8.26,0.053,0.255,3.09
177,single,1,13.16,0.018,0.211,2.92
178,single,1,20.91,0.034,0.284,3.07
179,single,1,18.51,0.046,0.068,2.84
180,single,1,16.13,0.06,0.206,3.29
181,single,1,8.38,0.014,0.173,3.36
182,single,1,11.78,0.039,0.17,3.3
183,single,1,17.15,0.016,0.275,3.26
184,single,1,16.0,0.012,0.052,3.08
185,single,1,19.94,0.018,0.237,3.47
186,single,1,21.13,0.041,0.069,2.97
187,single,1,19.79,0.063,0.181,3.31
188,single,1,14.12,0.042,0.183,3.49
189,single,1,10.12,0.01,0.114,2.88
190,single,1,20.38,0.056,0.133,2.82
191,single,1,29.33,0.061,0.271,2.9
192,single,1,11.49,0.025,0.273,3.1
193,single,1,25.91,0.056,0.297,3.43
194,single,1,29.73,0.029,0.223,3.09
195,single,1,17.66,0.037,0.292,3.33
196,single,1,8.72,0.066,0.212,3.04
197,single,1,14.62,0.019,0.178,2.94
198,single,1,29.98,0.025,0.269,3.42
199,single,1,25.58,0.016,0.259,3.33
200,single,1,18.48,0.018,0.097,3.26
201,single,1,18.39,0.012,0.154,3.35
202,single,1,19.7,0.064,0.017,3.31
203,single,1,13.69,0.027,0.254,3.18
204,single,1,27.78,0.056,0.135,3.09
205,single,1,25.71,0.037,0.032,3.48
206,single,1,14.44,0.014,0.164,3.46
207,single,1,19.13,0.04,0.211,3.14
208,single,1,24.06,0.03,0.195,2.81
209,single,1,20.23,0.055,0.105,2.88
210,single,1,29.7,0.055,0.006,3.34
211,single,1,25.93,0.058,0.287,2.88
212,single,1,28.1,0.054,0.156,2.88
213,single,1,11.66,0.021,0.001,2.87
214,single,1,27.63,0.036,0.222,2.99
215,single,1,13.31,0.046,0.046,3.07
216,single,1,21.39,0.033,0.196,2.99
217,single,1,20.66,0.028,0.191,3.34
218,single,1,28.09,0.031,0.259,3.3
219,single,1,21.32,0.038,0.203,3.43
220,single,1,8.33,0.068,0.117,2.94
221,single,1,26.33,0.067,0.167,3.47
222,single,1,20.37,0.063,0.23,3.19
223,single,1,21.32,0.051,0.284,3.23
224,single,1,23.26,0.03,0.217,2.82
225,single,1,9.31,0.055,0.26,3.38
226,single,1,29.9,0.04,0.266,3.43
227,single,1,14.85,0.02,0.036,2.84
228,single,1,17.2,0.024,0.229,3.03
229,single,1,12.28,0.018,0.098,3.37
230,single,1,28.26,0.032,0.119,2.9
231,single,1,16.17,0.061,0.27,3.4
232,single,1,16.53,0.05,0.221,3.18
233,single,1,17.9,0.021,0.24,2.84
234,single,1,19.79,0.061,0.137,3.1
235,single,1,16.29,0.05,0.295,2.88
236,single,1,12.7,0.028,0.034,2.85
237,single,1,11.65,0.035,0.07,3.26
238,single,1,14.73,0.046,0.001,3.15
239,single,1,20.95,0.026,0.167,2.91
240,single,1,26.42,0.012,0.062,3.24
241,single,1,14.47,0.047,0.235,2.99
242,single,1,14.71,0.039,0.241,3.33
243,single,1,23.97,0.032,0.287,2.81
244,single,1,27.61,0.033,0.034,3.16
245,single,1,18.1,0.04,0.281,3.04
246,single,1,13.8,0.027,0.116,3.05
247,single,1,23.56,0.065,0.017,2.96
248,single,1,9.06,0.055,0.017,3.21
249,single,1,18.16,0.013,0.297,3.33
250,single,1,24.11,0.041,0.265,2.95
251,single,1,22.05,0.017,0.201,3.47
252,single,1,26.98,0.045,0.012,3.31
253,single,1,13.88,0.042,0.213,2.84
254,single,1,26.35,0.056,0.205,3.07
255,single,1,26.38,0.066,0.296,2.98
256,single,1,17.84,0.054,0.234,3.48
257,single,1,14.33,0.032,0.104,3.14
258,single,1,20.44,0.048,0.138,3.19
259,single,1,29.73,0.059,0.059,3.15
260,single,1,29.97,0.058,0.04,3.14
261,single,1,10.09,0.019,0.279,3.4
262,single,1,26.63,0.021,0.207,3.06
263,single,1,21.15,0.022,0.235,2.87
264,single,1,18.21,0.044,0.274,3.4
265,single,1,26.74,0.026,0.105,2.83
266,single,1,12.83,0.027,0.143,3.38
267,single,1,11.92,0.017,0.205,3.2
268,single,1,20.76,0.016,0.144,2.86
269,single,1,27.43,0.058,0.139,3.1
270,single,1,14.4,0.045,0.152,3.38
271,single,1,14.33,0.028,0.153,3.06
272,single,1,14.35,0.034,0.11,3.46
273,single,1,26.01,0.055,0.091,3.41
274,single,1,22.32,0.057,0.173,2.85
275,single,1,8.18,0.034,0.089,2.86
276,single,1,18.42,0.018,0.011,3.26
277,single,1,10.43,0.037,0.079,2.99
278,single,1,27.54,0.015,0.127,2.86
279,single,1,26.75,0.06,0.181,3.35
280,single,1,11.7,0.066,0.24,3.27
281,single,1,23.75,0.031,0.047,2.99
282,single,1,18.68,0.067,0.203,2.93
283,single,1,28.38,0.015,0.002,2.95
284,single,1,26.39,0.046,0.139,3.04
285,single,1,19.23,0.017,0.109,3.07
286,single,1,14.75,0.055,0.172,3.14
287,single,1,12.61,0.043,0.049,3.29
288,single,1,29.93,0.021,0.06,2.86
289,single,1,20.93,0.032,0.193,3.31
290,single,1,28.16,0.069,0.018,3.49
291,single,1,17.04,0.013,0.19,3.02
292,single,1,26.5,0.04,0.273,3.09
293,single,1,17.83,0.063,0.18,2.95
294,single,1,21.33,0.023,0.002,2.92
295,single,1,27.48,0.028,0.182,3.19
296,single,1,21.99,0.017,0.241,2.82
297,single,1,23.26,0.045,0.246,2.9
298,single,1,9.02,0.026,0.174,3.44
299,single,1,25.87,0.055,0.228,3.06
300,single,1,15.1,0.059,0.039,3.03
301,single,1,22.15,0.066,0.027,3.04
302,single,1,17.78,0.053,0.184,2.93
303,single,1,20.2,0.014,0.026,3.32
304,single,1,11.05,0.037,0.261,3.17
305,single,1,29.91,0.065,0.213,2.83
306,single,1,19.46,0.046,0.118,2.83
307,single,1,19.25,0.028,0.013,2.9
308,single,1,19.81,0.027,0.121,3.38
309,single,1,21.15,0.039,0.231,3.14
310,single,1,17.93,0.015,0.017,3.25
311,single,1,21.29,0.042,0.148,2.95
312,single,1,18.6,0.03,0.296,3.07
313,single,1,14.4,0.039,0.044,2.83
314,single,1,13.14,0.055,0.153,2.85
315,single,1,12.41,0.059,0.269,3.28
316,single,1,21.39,0.043,0.156,3.48
317,single,1,17.65,0.023,0.201,3.32
318,single,1,25.93,0.034,0.253,3.25
319,single,1,27.83,0.038,0.102,3.35
320,single,1,21.94,0.031,0.155,3.21
321,single,1,24.56,0.019,0.07,3.44
322,single,1,27.19,0.029,0.254,3.0
323,single,1,17.19,0.054,0.274,3.35
324,single,1,21.36,0.038,0.16,2.89
325,single,1,12.16,0.037,0.038,2.99
326,single,1,22.87,0.069,0.07,3.18
327,single,1,14.14,0.028,0.052,3.14
328,single,1,14.25,0.045,0.241,2.83
329,single,1,25.55,0.056,0.211,2.86
330,single,1,17.66,0.064,0.162,3.22
331,single,1,13.16,0.025,0.193,3.44
332,single,1,27.55,0.062,0.062,2.85
333,single,1,27.35,0.039,0.214,2.99
334,single,1,22.97,0.067,0.156,2.86
335,single,1,19.51,0.061,0.216,3.03
336,single,1,22.55,0.014,0.111,2.88
337,single,1,16.54,0.066,0.176,3.26
338,single,1,27.94,0.059,0.082,2.97
339,single,1,18.23,0.021,0.026,3.17
340,single,1,24.19,0.066,0.059,3.24
341,single,1,17.26,0.049,0.188,3.17
342,single,1,29.82,0.049,0.049,2.94
343,single,1,24.51,0.03,0.075,3.15
344,single,1,29.8,0.068,0.135,3.18
345,single,1,13.31,0.028,0.267,3.22
346,single,1,27.84,0.043,0.038,3.19
347,single,1,27.56,0.028,0.299,2.86
348,single,1,28.82,0.041,0.154,2.9
349,single,1,20.0,0.055,0.015,3.17
350,single,1,8.2,0.018,0.276,2.92
351,single,1,16.77,0.036,0.078,3.46
352,single,1,14.58,0.047,0.263,3.1
353,single,1,28.34,0.047,0.165,2.89
354,single,1,20.94,0.046,0.122,3.11
355,single,1,12.6,0.012,0.152,3.27
356,single,1,16.42,0.035,0.28,3.22
357,single,1,11.73,0.035,0.136,2.96
358,single,1,10.57,0.016,0.193,3.04
359,single,1,22.27,0.03,0.231,3.3
360,single,1,16.2,0.041,0.101,3.02
361,single,1,28.34,0.038,0.169,3.49
362,single,1,25.6,0.037,0.041,2.99
363,single,1,9.31,0.032,0.039,3.04
364,single,1,9.31,0.012,0.105,2.89
365,single,1,29.68,0.064,0.012,3.08
366,single,1,23.25,0.016,0.061,2.83
367,single,1,10.2,0.011,0.074,3.05
368,single,1,22.74,0.061,0.033,3.27
369,single,1,11.14,0.026,0.037,3.39
370,single,1,23.03,0.065,0.271,2.99
371,single,1,26.02,0.063,0.13,3.42
372,single,1,27.98,0.04,0.144,3.37
373,single,1,22.53,0.051,0.241,3.23
374,single,1,14.98,0.023,0.277,3.06
375,single,1,14.88,0.043,0.121,3.12
376,single,1,21.91,0.028,0.154,2.91
377,single,1,21.24,0.019,0.096,3.03
378,single,1,20.87,0.017,0.07,3.39
379,single,1,23.51,0.046,0.127,3.03
380,single,1,21.16,0.052,0.181,3.28
381,single,1,21.86,0.037,0.065,2.87
382,single,1,10.89,0.019,0.206,3.36
383,single,1,13.54,0.021,0.157,2.97
384,single,1,13.04,0.062,0.087,3.28
385,single,1,29.06,0.026,0.284,3.4
386,single,1,25.3,0.052,0.032,3.06
387,single,1,22.63,0.036,0.288,3.0
388,single,1,16.99,0.019,0.262,2.84
389,single,1,29.52,0.016,0.157,3.49
390,single,1,24.46,0.019,0.133,2.87
391,single,1,10.47,0.017,0.249,3.26
392,single,1,17.42,0.042,0.116,2.96
393,single,1,26.81,0.059,0.185,3.49
394,single,1,13.98,0.028,0.006,3.16
395,single,1,14.67,0.047,0.079,3.42
396,single,1,12.82,0.014,0.085,2.8
397,single,1,11.99,0.041,0.123,2.99
398,single,1,9.06,0.031,0.205,2.95
399,single,1,21.04,0.037,0.115,3.27
400,single,1,8.76,0.051,0.148,3.35
401,single,1,26.05,0.012,0.032,3.26
402,single,1,21.98,0.064,0.224,3.16
403,single,1,20.51,0.042,0.129,2.85
404,single,1,23.92,0.023,0.071,3.42
405,single,1,17.38,0.049,0.177,3.31
406,single,1,11.32,0.037,0.211,3.02
407,single,1,27.03,0.061,0.001,3.32
408,single,1,17.94,0.017,0.285,3.15
409,single,1,8.51,0.04,0.228,3.17
410,single,1,12.81,0.061,0.24,3.26
411,single,1,21.11,0.037,0.209,3.06
412,single,1,8.89,0.031,0.059,3.5
413,single,1,21.13,0.062,0.289,3.26
414,single,1,21.3,0.038,0.023,3.37
415,single,1,9.75,0.066,0.096,3.5
416,single,1,13.28,0.066,0.197,3.2
417,single,1,20.02,0.057,0.226,3.12
418,single,1,16.97,0.038,0.148,3.07
419,single,1,15.27,0.022,0.096,3.17
420,single,1,16.07,0.025,0.104,2.85
421,single,1,13.64,0.038,0.203,3.34
422,single,1,13.25,0.055,0.019,3.0
423,single,1,24.62,0.046,0.203,3.49
424,single,1,18.13,0.052,0.139,2.81
425,single,1,17.6,0.053,0.051,3.18
426,single,1,8.46,0.047,0.059,2.95
427,single,1,24.96,0.069,0.227,3.45
428,single,1,21.94,0.017,0.058,3.34
429,single,1,23.32,0.024,0.084,3.47
430,single,1,11.53,0.035,0.276,2.87
431,single,1,13.89,0.01,0.057,3.15
432,single,1,28.33,0.036,0.043,3.34
433,single,1,25.18,0.032,0.048,2.98
434,single,1,20.83,0.05,0.199,3.01
435,single,1,20.8,0.05,0.111,2.93
436,single,1,9.72,0.063,0.157,3.35
437,single,1,18.27,0.039,0.129,3.1
438,single,1,11.58,0.042,0.278,3.33
439,single,1,13.27,0.046,0.299,3.02
440,single,1,8.49,0.07,0.29,2.87
441,single,1,15.29,0.061,0.183,3.2
442,single,1,29.64,0.019,0.029,3.31
443,single,1,26.95,0.062,0.059,3.21
444,single,1,15.38,0.055,0.16,3.13
445,single,1,9.58,0.069,0.052,3.39
446,single,1,23.37,0.036,0.262,3.45
447,single,1,8.13,0.027,0.072,3.02
448,single,1,25.28,0.019,0.236,3.34
449,single,1,14.05,0.066,0.241,3.18
450,single,1,14.99,0.047,0.11,3.19
451,single,1,25.27,0.022,0.276,2.98
452,single,1,24.62,0.062,0.292,3.15
453,single,1,15.14,0.023,0.097,2.96
454,single,1,27.79,0.017,0.116,3.19
455,single,1,12.24,0.045,0.237,3.41
456,single,1,29.65,0.037,0.024,3.42
457,single,1,17.14,0.012,0.097,2.82
458,single,1,9.42,0.01,0.218,2.99
459,single,1,16.36,0.032,0.138,3.45
460,single,1,13.66,0.047,0.174,3.26
461,single,1,28.24,0.04,0.158,3.32
462,single,1,17.81,0.01,0.058,3.33
463,single,1,28.07,0.047,0.044,3.07
464,single,1,10.48,0.042,0.122,3.08
465,single,1,9.95,0.068,0.23,3.5
466,single,1,25.17,0.055,0.193,3.41
467,single,1,17.51,0.035,0.097,2.95
468,single,1,19.27,0.062,0.173,3.27
469,single,1,15.11,0.021,0.041,3.3
470,single,1,19.76,0.015,0.032,3.26
471,single,1,13.5,0.031,0.1,2.98
472,single,1,12.57,0.042,0.082,2.86
473,single,1,10.37,0.057,0.209,2.88
474,single,1,25.63,0.053,0.203,3.1
475,single,1,21.03,0.054,0.14,3.38
476,single,1,16.28,0.032,0.044,2.8
477,single,1,28.36,0.027,0.237,3.26
478,single,1,19.78,0.021,0.064,3.35
479,single,1,27.57,0.068,0.216,3.47
480,single,1,9.48,0.052,0.147,3.49
481,single,1,10.5,0.06,0.148,3.43
482,single,1,13.99,0.059,0.287,3.41
483,single,1,9.97,0.018,0.015,3.08
484,single,1,9.03,0.039,0.082,3.15
485,single,1,13.94,0.02,0.069,3.24
486,single,1,21.07,0.019,0.024,3.22
487,single,1,11.93,0.026,0.239,3.28
488,single,1,26.3,0.05,0.105,2.93
489,single,1,27.7,0.042,0.177,3.25
490,single,1,11.89,0.021,0.091,2.99
491,single,1,13.13,0.034,0.053,2.85
492,single,1,23.76,0.017,0.157,3.32
493,single,1,22.86,0.015,0.035,3.0
494,single,1,13.25,0.046,0.047,3.48
495,single,1,20.55,0.052,0.105,3.22
496,single,1,22.76,0.036,0.106,3.46
497,single,1,13.08,0.012,0.192,2.94
498,single,1,14.83,0.055,0.018,2.8
499,single,1,22.54,0.011,0.157,2.94
500,single,1,8.78,0.03,0.088,2.86
501,single,1,13.58,0.051,0.026,2.87
502,single,1,14.53,0.069,0.037,3.21
503,single,1,24.28,0.064,0.269,3.26
504,single,1,17.87,0.016,0.109,2.92
505,single,1,19.04,0.041,0.274,3.23
506,single,1,16.34,0.043,0.186,3.45
507,single,1,28.02,0.047,0.09,2.97
508,single,1,26.22,0.045,0.29,2.82
509,single,1,8.16,0.063,0.218,3.39
510,single,1,21.34,0.058,0.009,3.36
511,single,1,10.17,0.025,0.208,3.48
512,single,1,21.25,0.048,0.04,3.0
513,single,1,18.01,0.018,0.087,3.43
514,single,1,18.75,0.061,0.133,3.22
515,single,1,16.97,0.068,0.168,3.03
516,single,1,13.96,0.034,0.201,2.97
517,single,1,16.49,0.036,0.238,3.33
518,single,1,15.6,0.064,0.094,3.41
519,single,1,13.72,0.037,0.146,2.86
520,single,1,20.83,0.021,0.177,3.26
521,single,1,8.03,0.038,0.086,3.07
522,single,1,10.63,0.055,0.235,2.86
523,single,1,15.3,0.035,0.164,3.05
524,single,1,13.57,0.034,0.023,3.34
525,single,1,29.19,0.017,0.163,2.95
526,single,1,11.07,0.04,0.09,2.83
527,single,1,23.98,0.039,0.184,3.11
528,single,1,21.86,0.066,0.012,2.84
529,single,1,19.3,0.055,0.297,3.28
530,single,1,24.86,0.04,0.025,3.07
531,single,1,27.68,0.011,0.086,3.05
532,single,1,10.77,0.063,0.151,3.34
533,single,1,22.48,0.067,0.245,3.33
534,single,1,18.06,0.052,0.021,2.95
535,single,1,16.48,0.047,0.216,3.26
536,single,1,12.33,0.06,0.144,3.09
537,single,1,9.01,0.024,0.027,3.45
538,single,1,12.85,0.05,0.177,3.41
539,single,1,25.18,0.048,0.092,3.06
540,single,1,21.87,0.067,0.18,3.25
541,single,1,26.73,0.02,0.166,2.97
542,single,1,19.33,0.058,0.293,3.02
543,single,1,23.35,0.057,0.108,3.07
544,single,1,17.16,0.063,0.069,2.94
545,single,1,11.19,0.02,0.263,3.45
546,single,1,14.18,0.047,0.074,2.91
547,single,1,27.67,0.049,0.247,3.09
548,single,1,18.17,0.062,0.272,3.2
549,single,1,10.33,0.057,0.277,3.1
550,single,1,24.08,0.021,0.051,3.2
551,single,1,15.51,0.052,0.273,3.05
552,single,1,17.78,0.017,0.165,3.11
553,single,1,18.12,0.038,0.136,2.99
554,single,1,23.34,0.032,0.193,2.82
555,single,1,27.07,0.042,0.212,3.49
556,single,1,20.86,0.022,0.299,3.42
557,single,1,9.23,0.013,0.155,3.49
558,single,1,27.83,0.04,0.242,3.37
559,single,1,20.62,0.064,0.079,3.42
560,single,1,22.07,0.022,0.254,2.82
561,single,1,11.26,0.057,0.277,3.03
562,single,1,18.53,0.053,0.233,2.91
563,single,1,26.22,0.027,0.271,2.94
564,single,1,28.25,0.068,0.298,2.87
565,single,1,11.88,0.06,0.136,3.35
566,single,1,22.91,0.011,0.075,3.37
567,single,1,15.76,0.032,0.255,3.27
568,single,1,18.5,0.017,0.114,3.12
569,single,1,9.38,0.022,0.074,3.41
570,single,1,24.29,0.013,0.17,3.28
571,single,1,13.63,0.057,0.076,2.99
572,single,1,25.28,0.015,0.269,3.13
573,single,1,12.55,0.061,0.186,3.19
574,single,1,26.29,0.047,0.166,3.11
575,single,1,10.77,0.01,0.048,3.07
576,single,1,21.83,0.036,0.091,3.27
577,single,1,18.87,0.046,0.085,3.19
578,single,1,25.39,0.052,0.267,3.36
579,single,1,10.04,0.043,0.088,3.43
580,single,1,25.34,0.034,0.056,3.17
581,single,1,16.44,0.063,0.058,3.18
582,single,1,27.78,0.06,0.254,3.0
583,single,1,16.47,0.052,0.223,3.12
584,single,1,18.37,0.017,0.012,3.2
585,single,1,9.88,0.054,0.026,2.97
586,single,1,16.79,0.056,0.269,3.13
587,single,1,19.87,0.061,0.126,3.27
588,single,1,29.63,0.049,0.134,3.3
589,single,1,10.59,0.044,0.023,3.06
590,single,1,26.44,0.065,0.151,3.16
591,single,1,15.98,0.048,0.181,3.17
592,single,1,22.67,0.066,0.175,3.46
593,single,1,11.58,0.052,0.296,3.01
594,single,1,26.59,0.018,0.236,3.4
595,single,1,17.67,0.029,0.159,3.42
596,single,1,10.7,0.046,0.255,2.82
597,single,1,19.51,0.034,0.013,3.4
598,single,1,26.35,0.014,0.03,3.38
599,single,1,14.56,0.056,0.161,3.39
600,single,1,21.45,0.036,0.294,3.22
601,single,1,24.98,0.033,0.284,3.49
602,single,1,10.16,0.016,0.046,3.11
603,single,1,14.43,0.042,0.264,3.4
604,single,1,9.49,0.028,0.021,3.21
605,single,1,28.83,0.011,0.221,3.15
606,single,1,12.68,0.013,0.153,3.03
607,single,1,27.14,0.049,0.112,3.09
608,single,1,16.47,0.039,0.153,3.44
609,single,1,20.08,0.06,0.116,3.12
610,single,1,20.29,0.031,0.079,3.16
611,single,1,19.3,0.059,0.172,2.9
612,single,1,28.92,0.053,0.067,2.95
613,single,1,15.64,0.03,0.098,3.34
614,single,1,28.57,0.014,0.242,3.19
615,single,1,22.85,0.032,0.195,2.88
616,single,1,10.16,0.019,0.16,2.91
617,single,1,11.9,0.029,0.16,3.46
618,single,1,11.31,0.07,0.059,2.81
619,single,1,24.02,0.027,0.243,2.98
620,single,1,17.86,0.02,0.001,3.03
621,single,1,8.62,0.026,0.021,3.19
622,single,1,23.12,0.06,0.078,3.49
623,single,1,25.18,0.064,0.275,3.41
624,single,1,21.66,0.063,0.249,3.03
625,single,1,26.59,0.063,0.067,3.01
626,single,1,12.13,0.063,0.031,3.31
627,single,1,21.79,0.063,0.012,2.91
628,single,1,14.34,0.011,0.224,2.85
629,single,1,17.83,0.047,0.046,3.36
630,single,1,27.21,0.025,0.029,2.93
631,single,1,15.59,0.023,0.204,3.34
632,single,1,22.58,0.056,0.265,3.27
